occurrence_no,collection_no,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,time_bins
256368,20604,Abra aequalis,Late Pleistocene,,0.129,0.0117,278.933334,31.983334,Late Pleistocene
256371,20604,Anadara (Larkinia) transversa,Late Pleistocene,,0.129,0.0117,278.933334,31.983334,Late Pleistocene
256372,20604,Anomia simplex,Late Pleistocene,,0.129,0.0117,278.933334,31.983334,Late Pleistocene
256375,20604,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,278.933334,31.983334,Late Pleistocene
256377,20604,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,278.933334,31.983334,Late Pleistocene
256386,20606,Abra aequalis,Late Pleistocene,,0.129,0.0117,278.933334,31.916668,Late Pleistocene
256389,20606,Anadara (Larkinia) transversa,Late Pleistocene,,0.129,0.0117,278.933334,31.916668,Late Pleistocene
256390,20606,Anomia simplex,Late Pleistocene,,0.129,0.0117,278.933334,31.916668,Late Pleistocene
256393,20606,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,278.933334,31.916668,Late Pleistocene
256395,20606,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,278.933334,31.916668,Late Pleistocene
256433,20613,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,278.900002,32,Late Pleistocene
362459,34269,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,279.602501,27.638332,Late Pleistocene
362460,34269,Glycymeris americana,Late Pleistocene,,0.129,0.0117,279.602501,27.638332,Late Pleistocene
362462,34269,Anadara (Larkinia) transversa,Late Pleistocene,,0.129,0.0117,279.602501,27.638332,Late Pleistocene
362485,34269,Anomia simplex,Late Pleistocene,,0.129,0.0117,279.602501,27.638332,Late Pleistocene
362504,34269,Chione cancellata,Late Pleistocene,,0.129,0.0117,279.602501,27.638332,Late Pleistocene
362520,34269,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,279.602501,27.638332,Late Pleistocene
392052,37632,Mytilus edulis,Late Pleistocene,,0.129,0.0117,180.625549,51.364445,Late Pleistocene
392071,37632,Mya (Mya) truncata,Late Pleistocene,,0.129,0.0117,180.625549,51.364445,Late Pleistocene
392072,37632,Hiatella arctica,Late Pleistocene,,0.129,0.0117,180.625549,51.364445,Late Pleistocene
392472,37675,Mya (Mya) truncata,Late Pleistocene,,0.129,0.0117,235.592781,43.119167,Late Pleistocene
392478,37676,Mytilus edulis,Late Pleistocene,,0.129,0.0117,236.042503,46.373333,Late Pleistocene
394524,37933,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394560,37948,Epilucina californica,Quaternary,,2.58,0,240.533333,33.241669,Quaternary
394591,37947,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394621,37946,Epilucina californica,Quaternary,,2.58,0,240.449997,33.241669,Quaternary
394624,37945,Epilucina californica,Quaternary,,2.58,0,240.449997,33.241669,Quaternary
394634,37944,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394648,37943,Epilucina californica,Quaternary,,2.58,0,240.533333,33.241669,Quaternary
394658,37942,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394661,37941,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394675,37940,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394686,37940,Hiatella arctica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394696,37939,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394714,37938,Epilucina californica,Quaternary,,2.58,0,240.533333,33.241669,Quaternary
394732,37937,Epilucina californica,Quaternary,,2.58,0,240.533333,33.241669,Quaternary
394744,37936,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394757,37935,Epilucina californica,Quaternary,,2.58,0,240.449997,33.241669,Quaternary
394761,37934,Epilucina californica,Quaternary,,2.58,0,240.491669,33.241669,Quaternary
394987,38003,Macoma (Macoma) calcarea,Early Pleistocene,,2.58,0.774,204.042496,70.903336,Calabrian
394988,38003,Hiatella arctica,Early Pleistocene,,2.58,0.774,204.042496,70.903336,Calabrian
394998,38004,Macoma (Macoma) calcarea,Early Pleistocene,,2.58,0.774,204.042496,70.903336,Calabrian
394999,38004,Hiatella arctica,Early Pleistocene,,2.58,0.774,204.042496,70.903336,Calabrian
395006,38006,Macoma (Macoma) calcarea,Early Pleistocene,,2.58,0.774,208.384445,69.99472,Calabrian
395007,38006,Hiatella arctica,Early Pleistocene,,2.58,0.774,208.384445,69.99472,Calabrian
395021,38007,Hiatella arctica,Early Pleistocene,,2.58,0.774,208.613327,70.065277,Calabrian
395029,38008,Hiatella arctica,Early Pleistocene,,2.58,0.774,197.199997,69.349998,Calabrian
395044,38011,Macoma (Macoma) calcarea,Early Pleistocene,,2.58,0.774,203.51889,71.387497,Calabrian
395046,38011,Hiatella arctica,Early Pleistocene,,2.58,0.774,203.51889,71.387497,Calabrian
