Species,long,lat,Time
Abra_aequalis,281.326389,33.816667,Modern
Abra_aequalis,281.516111,33.873333,Modern
Abra_aequalis,281.335,33.82,Modern
Abra_aequalis,279.541111,27.809167,Modern
Abra_aequalis,281.326389,33.816667,Modern
Abra_aequalis,281.326389,33.816667,Modern
Abra_aequalis,277.92166,26.45375,Modern
Abra_aequalis,271.8243,30.2492,Modern
Abra_aequalis,279.690339,27.473581,Modern
Abra_aequalis,278.8917,25.1424,Modern
Abra_aequalis,277.26904,27.7232,Modern
Abra_aequalis,278.222,24.5501,Modern
Abra_aequalis,279.9524,26.294,Modern
Abra_aequalis,279.69134,27.46595,Modern
Abra_aequalis,278.6101,30.3971,Modern
Abra_aequalis,277.31428,27.44401,Modern
Abra_aequalis,275.1305,29.6584,Modern
Abra_aequalis,270.845,29.5,Modern
Abra_aequalis,278.99857,29.22023,Modern
Abra_aequalis,277.29657,27.74836,Modern
Abra_aequalis,278.1688,26.13957,Modern
Abra_aequalis,277.90295,26.46037,Modern
Abra_aequalis,262.79416,26.08143,Modern
Abra_aequalis,278.27102,25.9726,Modern
Abra_aequalis,277.30016,27.4645,Modern
Abra_aequalis,284.36986,35.86216,Modern
Abra_aequalis,248.83854,25.95814,Modern
Abra_aequalis,280.18742,32.77518,Modern
Abra_aequalis,278.25838,25.97149,Modern
Abra_aequalis,277.65125,26.92711,Modern
Abra_aequalis,278.00155,26.45128,Modern
Abra_aequalis,277.99524,26.50345,Modern
Abra_aequalis,272.04052,30.22691,Modern
Abra_aequalis,280.5505,33.01384,Modern
Abra_aequalis,278.99857,29.22023,Modern
Abra_aequalis,280.51441,33.00862,Modern
Abra_aequalis,277.99682,24.52685,Modern
Abra_aequalis,277.30016,27.4645,Modern
Abra_aequalis,275.60242,29.91216,Modern
Abra_aequalis,277.90192,26.40441,Modern
Abra_aequalis,281.99257,33.88262,Modern
Abra_aequalis,277.3775,27.7736,Modern
Abra_aequalis,277.90295,26.46037,Modern
Abra_aequalis,277.90295,26.46037,Modern
Abra_aequalis,281.97973,33.92156,Modern
Abra_aequalis,279.35403,28.36835,Modern
Abra_aequalis,277.19492,27.80074,Modern
Abra_aequalis,262.94721,27.82702,Modern
Abra_aequalis,278.26064,25.93102,Modern
Abra_aequalis,262.99324,28.01211,Modern
Abra_aequalis,280.13286,32.75479,Modern
Abra_aequalis,279.76225,25.73591,Modern
Abra_aequalis,280.83384,33.32739,Modern
Abra_aequalis,278.99857,29.22023,Modern
Abra_aequalis,295.24524,32.30241,Modern
Abra_aequalis,266.12712,29.73549,Modern
Abra_aequalis,278.27102,25.9726,Modern
Abra_aequalis,274.69243,29.81095,Modern
Abra_aequalis,279.99698,26.70405,Modern
Abra_aequalis,277.90295,26.46037,Modern
Abra_aequalis,269.9427,29.25356,Modern
Abra_aequalis,279.55867,32.40068,Modern
Abra_aequalis,278.07795,26.43489,Modern
Abra_aequalis,271.12126,29.82769,Modern
Abra_aequalis,279.35403,28.36835,Modern
Abra_aequalis,280.50827,33.00128,Modern
Abra_aequalis,283.33618,34.71822,Modern
Abra_aequalis,262.92315,27.79444,Modern
Abra_aequalis,277.90295,26.46037,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,277.08,24.63,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,283.981,37.192,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,279.87,25.7883,Modern
Abra_aequalis,279.83,25.55,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,279.82,25.5,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,283.981,37.192,Modern
Abra_aequalis,283.9274,36.9226,Modern
Abra_aequalis,278.22,24.55,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,283.9274,36.9226,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,278.23,24.58,Modern
Abra_aequalis,279.87,25.7883,Modern
Abra_aequalis,278.88,25.27,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,278.2,24.55,Modern
Abra_aequalis,283.981,37.192,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,277.15,27.88,Modern
Abra_aequalis,283.9274,36.9226,Modern
Abra_aequalis,284.335,37.6152,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,277.15,27.88,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,262.67,26.97,Modern
Abra_aequalis,262.87,26.17,Modern
Abra_aequalis,278.2033,24.5517,Modern
Abra_aequalis,279.9909,26.4908,Modern
Abra_aequalis,262.8875,27.9075,Modern
Abra_aequalis,280.0019,26.7095,Modern
Abra_aequalis,275.9675,30.07222,Modern
Abra_aequalis,283.46333,34.60528,Modern
Abra_aequalis,274.27556,30.13472,Modern
Abra_aequalis,262.95889,27.83528,Modern
Abra_aequalis,279.668825,27.472736,Modern
Abra_aequalis,279.668825,27.472736,Modern
Abra_aequalis,262.6325,26.84417,Modern
Abra_aequalis,278.7653,29.7059,Modern
Abra_aequalis,278.6627,30.3663,Modern
Abra_aequalis,279.668825,27.472736,Modern
Abra_aequalis,277.8974,26.4266,Modern
Abra_aequalis,278.5627,30.4997,Modern
