Species,long,lat,Time
Abra_aequalis,277.937,26.879,EPleist
Abra_aequalis,283.379,35.321,EPleist
Abra_aequalis,281.487,33.746,EPleist
Abra_aequalis,281.796,33.746,EPleist
Abra_aequalis,283.129,34.996,EPleist
Abra_aequalis,277.521,27.729,EPleist
Abra_aequalis,283.279,36.054,EPleist
Abra_aequalis,279.937,26.429,EPleist
Abra_aequalis,277.304,27.738,EPleist
Abra_aequalis,281.404,33.746,EPleist
Abra_aequalis,280.087,9.338,EPleist
Abra_aequalis,281.287,33.746,EPleist
Abra_aequalis,281.387,33.746,EPleist
Abra_aequalis,279.379,29.704,EPleist
Abra_aequalis,281.787,33.746,EPleist
Abra_aequalis,281.429,33.746,EPleist
Abra_aequalis,281.512,33.746,EPleist
Abra_aequalis,281.071,33.646,EPleist
Abra_aequalis,281.196,33.746,EPleist
Abra_aequalis,281.604,33.746,EPleist
Abra_aequalis,281.637,33.746,EPleist
Abra_aequalis,281.971,33.746,EPleist
Abra_aequalis,281.171,33.729,EPleist
Abra_aequalis,278.187,26.696,EPleist
Abra_aequalis,279.379,29.588,EPleist
Abra_aequalis,279.379,29.521,EPleist
Abra_aequalis,277.379,27.846,EPleist
Abra_aequalis,277.996,26.963,EPleist
Abra_aequalis,277.979,26.954,EPleist
Abra_aequalis,279.471,27.938,EPleist
Abra_aequalis,279.246,28.429,EPleist
Abra_aequalis,279.737,27.179,EPleist
Angulus_texanus,280.071,32.846,EPleist
Angulus_texanus,279.187,28.646,EPleist
Arcinella_cornuta,281.612,33.746,EPleist
Arcinella_cornuta,278.154,26.363,EPleist
Arcinella_cornuta,279.946,26.488,EPleist
Arcinella_cornuta,281.829,33.746,EPleist
Arcinella_cornuta,281.279,33.746,EPleist
Arcinella_cornuta,281.029,33.604,EPleist
Arcinella_cornuta,279.954,26.704,EPleist
Arcinella_cornuta,277.271,28.746,EPleist
Arcinella_cornuta,279.929,26.338,EPleist
Arcinella_cornuta,279.687,27.238,EPleist
Arcinella_cornuta,277.812,26.971,EPleist
Arcinella_cornuta,281.821,33.746,EPleist
Arcinella_cornuta,281.654,33.746,EPleist
Chione_elevata,279.379,9.429,EPleist
Chione_elevata,279.504,27.846,EPleist
Chione_elevata,279.696,25.588,EPleist
Mercenaria_campechiensis,282.054,33.746,EPleist
Mercenaria_campechiensis,280.971,33.538,EPleist
Mercenaria_campechiensis,281.596,33.746,EPleist
Mercenaria_campechiensis,277.454,27.329,EPleist
Mercenaria_campechiensis,283.662,36.863,EPleist
Mercenaria_campechiensis,279.637,27.579,EPleist
Pleuromeris_tridentata,281.737,33.746,EPleist
Pleuromeris_tridentata,280.746,33.354,EPleist
Abra_aequalis,279.954,26.688,MPleist
Abra_aequalis,283.129,34.979,MPleist
Abra_aequalis,283.129,34.971,MPleist
Abra_aequalis,279.954,26.663,MPleist
Abra_aequalis,278.162,26.296,MPleist
Abra_aequalis,277.512,27.713,MPleist
Abra_aequalis,279.937,26.429,MPleist
Abra_aequalis,277.504,27.713,MPleist
Angulus_texanus,279.754,25.713,MPleist
Arcinella_cornuta,277.521,27.729,MPleist
Arcinella_cornuta,277.537,27.754,MPleist
Arcinella_cornuta,278.154,26.363,MPleist
Arcinella_cornuta,278.187,26.696,MPleist
Arcinella_cornuta,277.996,26.963,MPleist
Arcinella_cornuta,279.954,26.713,MPleist
Arcinella_cornuta,279.946,26.821,MPleist
Arcinella_cornuta,279.954,26.654,MPleist
Arcinella_cornuta,279.954,26.704,MPleist
Arcinella_cornuta,279.737,27.179,MPleist
Arcinella_cornuta,279.954,26.679,MPleist
Arcinella_cornuta,279.954,26.721,MPleist
Arcinella_cornuta,279.929,26.338,MPleist
Arcinella_cornuta,279.954,26.613,MPleist
Arcinella_cornuta,279.954,26.629,MPleist
Chione_elevata,279.954,26.696,MPleist
Chione_elevata,279.687,27.238,MPleist
Chione_elevata,279.904,26.171,MPleist
Chione_elevata,277.421,27.563,MPleist
Chione_elevata,279.662,27.496,MPleist
Mercenaria_campechiensis,279.954,26.738,MPleist
Mercenaria_campechiensis,277.546,27.113,MPleist
Pleuromeris_tridentata,283.354,35.546,MPleist
Abra_aequalis,279.379,31.988,LPleist
Abra_aequalis,279.379,31.921,LPleist
Abra_aequalis,277.737,27.004,LPleist
Abra_aequalis,283.704,36.846,LPleist
Abra_aequalis,281.196,33.746,LPleist
Abra_aequalis,283.129,34.971,LPleist
Abra_aequalis,279.771,32.604,LPleist
Abra_aequalis,283.921,35.671,LPleist
Abra_aequalis,281.121,33.688,LPleist
Abra_aequalis,278.187,26.696,LPleist
Abra_aequalis,283.129,34.996,LPleist
Abra_aequalis,279.379,31.121,LPleist
Abra_aequalis,279.379,29.488,LPleist
